ID,AREA,DATA,MUN,DIST,CLAS_CEM,CATEG,INSTANC,NOM_TIPO,NOM_PREP,NOME,NOM_ETIQ,NOM_TP_A,NOM_PR_A,NOM_A,NOM_ET_A,ANO,AREA_M2,AREA_HA,AREA_KM2,GESTAO,OBS,FAIXA_AREA
55450,0.020305,172,SANTO ANDRE,CAPUAVA,VERDE 6,PARQUE URBANO,MUNICIPAL,PARQUE,,CENTERNARIO DA IMIGRACAO JAPONESA,PARQUE CENTERNARIO DA IMIGRACAO JAPONESA,Parque,,Centenário da Imigração Japonesa,Parque Centenário da Imigração Japonesa,,20305,2.030509,0.020305,,NORIO ARIMURA,1-5 ha
55464,0.024255,173,SAO PAULO,SAO RAFAEL,VERDE 6,PRACA,MUNICIPAL,PRACA,,,PRACA,Praça,,,Praça,,24255,2.425526,0.024255,,,1-5 ha
55478,0.030075,174,SAO PAULO,SAPOPEMBA,VERDE 5,PRACA,MUNICIPAL,PRACA,,HUMBERTO REIS COSTA,PRACA HUMBERTO REIS COSTA,Praça,,Humberto Reis Costa,Praça Humberto Reis Costa,,30075,3.00753,0.030075,,,1-5 ha
55492,0.017276,175,SAO PAULO,SAPOPEMBA,VERDE 6,PRACA,MUNICIPAL,PRACA,,NOEMIA CAMPOS DE SICA,PRACA NOEMIA CAMPOS DE SICA,Praça,,Noêmia Campos de Sica,Praça Noêmia Campos de Sica,,17276,1.72761,0.017276,,,1-5 ha
55506,0.018761,176,SAO PAULO,SAO MATEUS,VERDE 6,PRACA,MUNICIPAL,PRACA,,,PRACA,Praça,,,Praça,,18760,1.876076,0.018761,,,1-5 ha
55520,0.040576,421,SAO PAULO,SAO MATEUS,VERDE 5,PARQUE URBANO,MUNICIPAL,PARQUE,DO,JARDIM SAPOPEMBA,PARQUE DO JARDIM SAPOPEMBA,Parque,do,Jardim Sapopemba,Parque do Jardim Sapopemba,2012.0,40576,4.057636,0.040576,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
55535,0.020809,177,SAO PAULO,SAPOPEMBA,VERDE 6,PRACA,MUNICIPAL,PRACA,,MARIA REIS COSTA,PRACA MARIA REIS COSTA,Praça,,Maria Reis Costa,Praça Maria Reis Costa,,20808,2.080858,0.020809,,,1-5 ha
55549,0.015095,178,SAO PAULO,SAO MATEUS,VERDE 6,PRACA,MUNICIPAL,PRACA,,,PRACA,Praça,,,Praça,,15094,1.509498,0.015095,,,1-5 ha
55563,0.013723,179,SAO PAULO,SAO MATEUS,VERDE 6,PRACA,MUNICIPAL,PRACA,,FELISBERTO FERNANDES DA SILVA,PRACA FELISBERTO FERNANDES DA SILVA,Praça,,Felisberto Fernandes da Silva,Praça Felisberto Fernandes da Silva,,13722,1.372298,0.013723,,,1-5 ha
55577,0.009944,180,SAO PAULO,SAO RAFAEL,VERDE 6,PRACA,MUNICIPAL,PRACA,,OSVALDO LUIS DA SILVEIRA,PRACA OSVALDO LUIS DA SILVEIRA,Praça,,Osvaldo Luís da Silveira,Praça Osvaldo Luís da Silveira,,9944,0.994445,0.009944,,,0.5-1 ha
